strongNumber,hebWord,lang,etymComplete,etymDesc,variants,morphology,heading,entrycontent,phonemes,multiarticle
23,אֲבִיאָסָף,H,1+אב|622+אסף,from H1 and H622,,N_N-M-P,Abiasaph,"Abiasaph = ""my father has gathered""<br>1) son (descendant) of Korah",ʾăvīʾāsāf,
24,אָבִיב,H,,from an unused root (meaning to be tender),,N_N-M-T;N-M,Abib,"1) fresh, young barley ears, barley<br>2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April)",ʾāvīv,
25,אֲבִי גִבְעוֹן,H,1+אב|1391+גבעון,from H1 and H1391,,N_N-M-P;N_N--L,Abi-gibeon,"Abi Gibon = ""father of Gibeon""<br>1) site of great Bamah, location of the tabernacle of the Lord in the high place",ʾăvī givʿōn,
26,"אֲבִיגַ֫יִל, אֲבִיגַ֫ל",H,1+אב|1524+גיל,from H1 and H1524,,N_N-F-P,Abigail,"Abigail = ""my father is joy""<br>1) wife of Nabal, then of David<br>2) sister of David","ʾăvīgayil, ʾăvīgal",
27,אֲבִידָן,H,1+אב|1777+דין דון,from H1 and H1777,,N_N-M-P,Abidan,"Abidan = ""my father is judge""<br>1) a prince (ruler) of Benjamin",ʾăvīdān,
28,אֲבִידָע,H,1+אב|3045+ידע,from H1 and H3045,,N_N-M-P,Abida,"Abida or Abidah = ""my father knows""<br>1) fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)",ʾăvīdāʿ,
29,אֲבִיָּ֫הוּ,H,1+אב|3050+יה,from H1 and H3050,,N_N-M-P,Abijah,"Abia or Abiah or Abijah = ""Jehovah is (my) father""<br>1) king of Judah, son and successor of Rehoboam<br>2) second son of Samuel<br>3) son of Jeroboam the first, king of Israel<br>4) son of Becher, a Benjamite<br>5) head of a priestly house (one of the 24 Levite groups)<br>6) head of a priestly house (after the exile)<br>7) wife of Hezron<br>8) mother of Hezekiah (cf H021)",ʾăviyyāhū,
30,אֲבִיהוּא,H,1+אב|1931+הוא היא,from H1 and H1931,,N_N-M-P,Abihu,"Abihu = ""he is (my) father""<br>1) a son of Aaron destroyed for sacrificing strange fire to God",ʾăvīhūʾ,
31,אֲבִיהוּד,H,1+אב|1935+הוד,from H1 and H1935,,N_N-M-P,Abihud,"Abihud = ""my father is majesty""<br>1) son of Bela, a Benjamite",ʾăvīhūd,
32,אֲבִיחַ֫יִל,H,2428+חיל,from H1 and H2428,,N_N-M-P,Abihail,"Abihail = ""my father is might""<br>1) a Levite in Moses's time<br>2) a Gadite<br>3) father of Esther<br>4) wife of Abishur<br>5) wife of Rehoboam",ʾăvīḥayil,
33,אֲבִי הָעֶזְרִי,H,44+אביעזר,from H44 with the article inserted,,N_N--PG,Abi-ezrite,"Abiezrite = ""my father is help""<br>1) one of the family of Abiezer, a descendant of Joseph's son, Manasseh",ʾăvī hāʿezrī,
34,אֶבְיוֹן,H,14+אבה,"from H14, in the sense of want (especially in feeling)",,A-M,needy,"1) in want, needy, chiefly poor, needy person<br>2) subject to oppression and abuse<br>3) needing help, deliverance from trouble, especially as delivered by God<br>4) general reference to lowest class",ʾevyōn,
35,אֲבִיּוֹנָה,H,14+אבה,from H14,,N-F,desire,1) caper-berry-of stimulating desire,ʾăviyyōnā,
36,אֲבִיטוּב,H,1+אב|2898+טוב,from H1 and H2898,,N_N-M-P,Abitub,"Abitub = ""my father is good(ness)""<br>1) son of Shaharaim, a Benjamite",ʾăvīṭūv,
37,אֲבִיטָ֑ל,H,1+אב|2919+טל,from H1 and H2919,,N_N-F-P,Abital,"Abital = ""my father is (the) dew""<br>1) a wife of David",ʾăvīṭāl,
38,אֲבִיָּם,H,1+אב|3220+ים,from H1 and H3220,,N_N-M-P,Abijam,"Abijam = ""my father is the sea"" or ""Yah(u) is (my) father""<br>1) king of Judah, son and successor of Rehoboam",ʾăviyyām,
39,אֲבִימָאֵל,H,1+אב,from H1 and an elsewhere unused (probably foreign) word,,N_N-M-P,Abimael,"Abimael = ""my father is El (God)""<br>1) son of Joktan, descendant of Shem",ʾăvīmāʾēl,
40,אֲבִימֶ֫לֶךְ,H,1+אב|4428+מלך,from H1 and H4428,,N_N-M-P,Abimelech,"Abimelech = ""Melek is father"" or ""my father is king""<br>1) king of Gerar in Abraham's time<br>2) king of Gath in David's time; maybe title of Philistine kings<br>3) son of Gideon by a concubine<br>4) priest, son of Abiathar",ʾăvīmelex,
41,אֲבִינָדָב,H,1+אב|5068+נדב,from H1 and H5068,,N_N-M-P,Abinadab,"Abinadab = ""my father is noble"" or ""my father is willing""<br>1) a man of Gibeah who sheltered the ark<br>2) second son of Jesse, David's older brother<br>3) a son of Saul, slain with him by the Philistines",ʾăvīnādāv,
42,אֲבִינֹ֫עַם,H,1+אב|5278+נועם,from H1 and H5278,,N_N-M-P,Abinoam,"Abinoam = ""my father is delight""<br>1) father of Barak, descendant of Naphtali",ʾăvīnōʿam,
43,"אֶבְיָסָף, אֲבִיאָסָף",H,23+אביאסף,contracted from H23,,N_N-M-P,Ebiasaph,"Ebiasaph = ""my father has gathered""<br>1) a son or descendant of Korah","ʾevyāsāf, ʾăvīʾāsāf",
44,אֲבִיעֶ֫זֶר,H,1+אב|5829+עזר,from H1 and H5829,,N_N-M-P,Abiezer,"Abiezer = ""my father is help""<br>1) a Manassite, called ""son"" of Gilead, also son of Gilead's sister<br>2) a Benjamite, warrior of David",ʾăvīʿezer,
45,אֲבִי־עַלְבוֹן,H,1+אב,from H1 and and an unused root of uncertain. derivation,,N_N-M-P,Abi-albon,"Abialbon = ""El (God) is my father""<br>1) one of David's mighty men (hero)",ʾăvī-ʿalvōn,
46,אָבִיר,H,82+אבר,from H82,,A-M,mighty,"1) strong, mighty-used only to describe God<br>2) the Strong-old name for God (poetic)",ʾāvīr,
47,אַבִּיר,H,46+אביר,from H46,,A-M,mighty,"1) mighty, valiant<br>&emsp;1a) of men<br>&emsp;1b) of angels<br>&emsp;1c) of animals<br>&emsp;1d) (metaph)<br>&emsp;&emsp;1d1) of enemies<br>&emsp;&emsp;1d2) of princes<br>&emsp;&emsp;1d3) of sacrificial objects<br>&emsp;1e) obstinate (fig.)",ʾabbīr,
48,אֲבִירָם,H,1+אב|7311+רום,from H1 and H7311,,N_N-M-P,Abiram,"Abiram = ""my father is exalted"" or ""(the) Exalted One is (my) father""<br>1) a Reubenite, son of Eliab in exodus<br>2) son of Hiel the Bethelite who worked to rebuild Jericho",ʾăvīrām,
49,אֲבִישַׁג,H,1+אב|7686+שׁגה,from H1 and H7686,,N_N-F-P,Abishag,"Abishag = ""my father is a wanderer""<br>1) David's beautiful young nurse",ʾăvīšag,
50,אֲבִישׁוּעַ,H,1+אב|7771+שׁוע,from H1 and H7771,,N_N-M-P,Abishua,"Abishua = ""my father is rescue (safety), or is opulence""<br>1) son of Phinehas, grandson of Aaron",ʾăvīšūaʿ,
51,אֲבִישׁוּר,H,1+אב|7791+שׁור,from H1 and H7791,,N_N-M-P,Abishur,"Abishur = ""my father is a wall""<br>1) son of Shammai, descendant of Judah",ʾăvīšūr,
52,אֲבִישַׁי,H,1+אב|7862+שׁי,from H1 and H7862,,N_N-M-P,Abishai,"Abishai = ""my father is Jesse"" or ""my father is a gift""<br>1) grandson of Jesse, nephew of David via his sister Zeruiah, brother of Joab",ʾăvīšay,
53,אֲבִישָׁלוֹם,H,1+אב|7965+שׁלום שׁלום,from H1 and H7965,,N_N-M-P,Absalom,"Absalom or Abishalom = ""my father is peace""<br>1) father-in-law of Rehoboam<br>2) third son of David, killer of first-born son Amnon, also leader of revolt against his father-David",ʾăvīšālōm,
54,אֶבְיָתָר,H,1+אב|3498+יתר,contracted from H1 and H3498,,N_N-M-P,Abiathar,"Abiathar = ""my father is great""<br>1) priest, son of Ahitub (Ahimelech), faithful to David, but later rebelled with Adonijah",ʾevyātār,
55,אָבַךְ,H,,a primitive root,,V,to roll up,"1) to roll, turn<br>&emsp;1a) (Hithpael) to roll, roll up, billow",ʾāvax,
56,אָבַל,H,,a primitive root,,V,to mourn,"1) to mourn, lament<br>&emsp;1a) (Qal) to mourn, lament<br>&emsp;&emsp;1a1) of humans<br>&emsp;&emsp;1a2) of inanimate objects (fig.)<br>1a2a) of gates<br>1a2b) of land<br>&emsp;1b) (Hiphil)<br>&emsp;&emsp;1b1) to mourn, cause to mourn (fig.)<br>&emsp;1c) (Hithpael)<br>&emsp;&emsp;1c1) to mourn<br>&emsp;&emsp;1c2) play the mourner",ʾāval,
57,אָבֵל,H,56+אבל,from H56,,A,mourning,1) mourning<br>&emsp;1a) for the dead<br>&emsp;1b) because of calamity<br>&emsp;1c) of rites of mourning<br>2) mourner (subst.)<br>&emsp;2a) for the dead<br>&emsp;2b) for calamity,ʾāvēl,
58,אָבֵל,H,,from an unused root (meaning to be grassy). Compare also the proper names beginning with Abel-,,N-F,meadow,"1) meadow (from verb-to grow green, to withstand)",ʾāvēl,
59,אָבֵל,H,58+אבל,from H58,,N_N--L,Abel,1) city in northern Israel near Bethmaachah<br>2) the place where the ark rested in the field of Joshua at Bethshemesh,ʾāvēl,
60,אֵ֫בֶל,H,56+אבל,from H56,,N-M,mourning,1) mourning<br>&emsp;1a) for the dead<br>&emsp;1b) for rites of mourning (metaph)<br>&emsp;1c) mourning garb<br>&emsp;1d) period of mourning,ʾēvel,
61,אֲבָל,H,56+אבל,apparently from H56 through the idea of negation,,ADV,truly,"1) truly, verily, surely<br>2) but, however, howbeit<br>3) contrariwise, nay rather (neg.)",ʾăvāl,
62,אָבֵל בֵּית־מֲעַכָה,H,58+אבל|1004+בית|4601+מעכה ,from H58 and H1004 and H4601,,N_N--L,Abel-beth-maachah,"Abel Beth Maachah = ""meadow of the house of Maachah""<br>1) city in northern Israel near Beth Maachah",ʾāvēl bēt-măʿaxā,
63,אָבֵל הַשִּׁטִּים,H,58+אבל|7848+שׁטה שׁטים,"from H58 and the plural of H7848, with the article inserted",,N_N--L,Abel-shittim,"Abel Shittim = ""meadow of acacias""<br>1) place in lowlands of Moab",ʾāvēl haššiṭṭīm,
64,אָבֵל כְּרָמִים,H,58+אבל|3754+כרם,from H58 and the plural of H3754,,N_N--L,Abel-keramim,"Abel Keramim = ""meadow of the vineyards""<br>1) a place in Ammon",ʾāvēl kᵊrāmīm,
65,אָבֵל מְחוֹלָה,H,58+אבל|4246+מְחולה,from H58 and H4246,,N_N--L,Abel-meholah,"Abel Meholah = ""meadow of dancing""<br>1) a city of Issachar, birthplace of Elisha",ʾāvēl mᵊḥōlā,
66,אַבֵל מַיִם,H,58+אבל|4325+מים,from H58 and H4325,,N_N--L,Abel-maim,"Abel Maim = ""meadow of waters""<br>1) a city in northern Israel (perhaps Abel Beth Maachah)",ʾavēl mayim,
67,אָבֵל מִצְרַיִם,H,58+אבל|4714+מצרים,from H58 and H4714,,N_N--L,Abel-mizraim,"Abel Mizraim = ""meadow of Egypt""<br>1) a place east of the Jordan (perhaps ""as fertile as Egypt"")",ʾāvēl miṣrayim,
68,אֶ֫בֶן,H,1129+בנה,from the root of H1129 through the meaning to build,,N-F,stone,"1) stone (large or small)<br>&emsp;1a) common stone (in natural state)<br>&emsp;1b) stone, as material<br>&emsp;&emsp;1b1) of tablets<br>&emsp;&emsp;1b2) marble, hewn stones<br>&emsp;1c) precious stones, stones of fire<br>&emsp;1d) stones containing metal (ore), tool for work or weapon<br>&emsp;1e) weight<br>&emsp;1f) plummet (stones of destruction) also made of metal<br>&emsp;1g) stonelike objects, eg hailstones, stony heart, ice<br>&emsp;1h) sacred object, as memorial Samuel set up to mark where God helped Israel to defeat the Philistines<br>&emsp;1i) (simile)<br>&emsp;&emsp;1i1) sinking in water, motionlessness<br>&emsp;&emsp;1i2) strength, firmness, solidity<br>&emsp;&emsp;1i3) commonness<br>&emsp;1j) (metaph)<br>&emsp;&emsp;1j1) petrified with terror<br>&emsp;&emsp;1j2) perverse, hard heart",ʾeven,
69,אֶ֫בֶן,A,68+אבן,(Aramaic) corresponding to H68,,N-F,stone,"1) stone<br>&emsp;1a) a (the) stone<br>&emsp;1b) stone, material of idols and buildings",ʾeven,
70,אֹבֶן,H,68+אבן,from the same as H68,,N-M,wheel,"1) wheel, disc<br>&emsp;1a) potter's wheel<br>&emsp;1b) bearing-stool, midwife's stool",ʾōven,
71,אֲבָנָה,H,68+אבן,perhaps feminine of H68,,N_N--L,Abana,"1) river Abana, Syrian river flowing through Damascus",ʾăvānā,
72,אֶבֶן הָעֵזֶר,H,68+אבן|5828+עזר,from H68 and H5828 with the article inserted,,N_N--L,Eben-ezer,"Ebenezer = ""stone of help""<br>1) memorial stone erected by Samuel to mark where God helped Israel to defeat the Philistines-north of Jerusalem",ʾeven hāʿēzer,
73,אַבְנֵט,H,,of uncertain derivation,,N-M,girdle,"1) girdle, sash, waistband<br>&emsp;1a) of high priest<br>&emsp;1b) of other priests<br>&emsp;1c) of high official",ʾavnēṭ,
74,אֲבִינֵר,H,1+אב|5216+ניר נר ניר נר נרה,from H1 and H5216,,N_N-M-P,Abner,"Abner = ""my father is a lamp""<br>1) Saul's cousin and army captain, treacherously slain by Joab",ʾăvīnēr,
75,אָבַס,H,,a primitive root,,V,to fatten,"1) to feed, fatten<br>&emsp;1a) (Qal) fattened (passive participle)",ʾāvas,
76,אֲבַעְבֻּעֹת,H,,(by reduplication) from an unused root (meaning to belch forth),,N-F,boil,"1) blisters, boils (from root, to swell up)",ʾăvaʿbuʿōt,
77,אֶ֫בֶץ,H,,from an unused root probably meaning to gleam,,N_N--L,Abez,"Abez = ""I will make white (or miry)""<br>1) a city in Issachar",ʾeveṣ,
78,אִבְצָן,H,76+אבעבועה,from the same as H76,,N_N-M-P,Ibzan,"Ibzan, ""their whiteness (literally their tin - as white""<br>1) a Bethlehemite judge in time of the judges",ʾivṣān,
79,אָבַק,H,80+אבק,"a primitive root, probably to float away (as vapor), but used only as denominative from H80",,V,to wrestle,"1) (Niphal) to wrestle, grapple (get dusty), bedust",ʾāvaq,
80,אָבָק,H,79+אבק,from root of H79,,N-M,dust,1) dust<br>&emsp;1a) on ground<br>&emsp;1b) clouds (fig.),ʾāvāq,
81,אֲבָקָה,H,80+אבק,feminine of H80,,N-F,aromatic powder,"1) aromatic powders, powder",ʾăvāqā,
82,אָבַר,H,,a primitive root,,V,to fly,1) (Hiphil) to fly (to move wings),ʾāvar,
83,אֵ֫בֶר,H,82+אבר,from H82,,N-M,wing,"1) pinion, wing<br>&emsp;1a) of bird (dove, eagle)<br>&emsp;1b) of Babylonian king (fig.)",ʾēver,
84,אֶבְרָה,H,83+אבר,feminine of H83,,N-F,pinion,"1) pinion, wing<br>&emsp;1a) of bird (ostrich, eagle, dove)<br>&emsp;1b) of God (metaph)",ʾevrā,
85,אַבְרָהָם,H,1+אב,contracted from H1 and an unused root (probably meaning to be populous),,N_N-M-P,Abraham,"Abraham = ""father of a multitude"" or ""chief of multitude""<br>1) friend of God and founder of Hebrew nation via God's elective covenant",ʾavrāhām,
86,אַבְרֵךְ,H,,probably an Egyptian word meaning kneel,,V,to bow,1) (meaning dubious) -a shout made to announce Joseph's chariot<br>&emsp;1a) command<br>&emsp;1b) bow,ʾavrēxᵊ,
87,אַבְרָם,H,48+אבירם,contracted from H48,,N_N-M-P,Abram,"Abram = ""exalted father""<br>1) original name of Abraham",ʾavrām,
88,אֹבֹת,H,178+אוב,plural of H178,,N_N--L,Oboth,"Oboth = ""waterskins""<br>1) undetermined site of an Israelite camp in the wilderness (perhaps at east boundary of Moab)",ʾōvōt,
89,אָגֵא,H,,of uncertain derivation. Compare H90,,N_N-M-P,Agee,"Agee = ""I shall increase""<br>1) father of a warrior of David",ʾāgēʾ,
90,אֲגָג,H,,of uncertain derivation,,N_N-M-P,Agag,"Agag = ""I will overtop""<br>1) king of Amalek, spared by Saul but slain by Samuel",ʾăgāg,
91,אֲגָגִי,H,90+אגג,patrial or patronymic from H90,,N_N--PG,Agagite,"Agagite = ""I will overtop""<br>1) said of Haman, Haman the Agagite",ʾăgāgī,
92,אֲגֻדָּה,H,,feminine passive participle of an unused root (meaning to bind),,N-F,troop,"1) band, binding<br>&emsp;1a) cords, bands, thongs (metaphorical of slavery)<br>&emsp;1b) bunch of hyssop<br>&emsp;1c) band of men, troops<br>&emsp;1d) vault (of the heavens), firmament (binding earth to the heavens)",ʾăguddā,
93,אֱגוֹז,H,,prob of Persian origin,,N-M,nut,1) nuts,ʾĕgōz,
94,אָגוּר,H,103+אגר,passive participle of H103,,N_N-M-P,Agur,"Agur = ""gathered""<br>1) son of Jakeh, an author or compiler of Pr 30:1-33",ʾāgūr,
95,אֲגוֹרָה,H,94+אגור,from the same as H94,,N-F,piece,"1) payment, piece, coin",ʾăgōrā,
96,אֵ֫גֶל,H,,from an unused root (meaning to flow down or together as drops),,N-M,drop,"1) drop, reserve supply, collections, stores",ʾēgel,
97,אֶגְלַ֫יִם,H,96+אגל,dual of H96,,N_N--L,Eglaim,"Eglaim = ""double reservoir""<br>1) a town in Moab",ʾeglayim,
98,אֲגַם,H,,from an unused root (meaning to collect as water),,N-M,pool,"1) pool, troubled pool<br>&emsp;1a) troubled or muddy (gloomy) pools, marshes<br>&emsp;1b) any pool, pond<br>&emsp;1c) swamp reeds, reeds, rush(es)",ʾăgam,
99,אָגֵם,H,98+אגם,probably from the same as H98 (in the sense of stagnant water),,A,grieved,1) stagnant pond,ʾāgēm,
100,אַגְמֹן,H,98+אגם,from the same as H98,,N-M,bulrush,"1) rush, bulrush<br>&emsp;1a) used as cord or line (of twisted rushes or spun of rush fibre)<br>&emsp;1b) of the lowly, insignificant (metaph)<br>2) sad, drooping<br>&emsp;1a) of line of bulrushes<br>&emsp;1b) bowing of the head (fig.)<br>&emsp;1c) of the lowly (metaph)",ʾagmōn,
101,אַגָּן,H,5059+נגן,probably from H5059,,N-M,vessel,"1) bowl, basins<br>&emsp;1a) basins used in ritual<br>&emsp;1b) human body (metaph), curves of the body (simile)<br>&emsp;1c) of family of Eliakim (metaph)",ʾaggān,
102,אֲגַף,H,5062+נגף,probably from H5062 (through the idea of impending),,N-M,band,"1) wing (of an army), band, army, hordes",ʾăgaf,
103,אָגַר,H,,a primitive root,,V,to gather,1) to gather<br>&emsp;1a) (Qal) to gather,ʾāgar,
104,אִגְּרָא,A,,(Aramaic) of Persian origin,,N-F,letter,"1) letter, missive (Aramaic loan-word used in last OT books)",ʾiggᵊrāʾ,
105,אֲגַרְטָל,H,,of uncertain derivation,,N-M,basin,"1) vessel, basket, leather bag, basin",ʾăgarṭāl,
106,אֶגְרֹף,H,1640+גרף,from H1640 (in the sense of grasping),,N-M,fist,1) fist,ʾegrōf,
107,אִגֶּ֫רֶת,H,104+אגרא,feminine of H104,,N-F,letter,"1) letter, missive",ʾiggeret,
108,אֵד,H,181+אוד,from the same as H181 (in the sense of enveloping),,N-M,mist,1) mist,ʾēd,
109,אָדַב,H,,a primitive root,,V,to grieve,"1) to grieve, cause grief<br>&emsp;1a) (Hiph) to cause to grieve, to grieve, to cause grief",ʾādav,
110,אַדְבְּאֵל,H,109+אדב|410+אל,probably from H109 (in the sense of chastisement) and H410,,N_N-M-P,Adbeel,"Adbeel = ""chastened of God""<br>1) third son of Ishmael and grandson of Abraham",ʾadbᵊʾēl,
111,אֲדַד,H,2301+חדד,probably an orthographical variation for H2301,,N_N-M-P,Hadad,"Hadad = ""I shall move softly: I shall love""<br>1) an Edomite enemy God raised up to punish Solomon for his sins",ʾădad,
112,אִדּוֹ,H,,of uncertain derivation,,N_N-M-P,Iddo,"Iddo = ""I will praise him""<br>1) a chief Israelite during resettlement",ʾiddō,
113,אָדוֹן,H,,from an unused root (meaning to rule). Compare also names beginning with Adoni-,,N-M,lord,"1) firm, strong, lord, master<br>&emsp;1a) lord, master<br>&emsp;&emsp;1a1) reference to men<br>1a1a) superintendent of household, of affairs<br>1a1b) master<br>1a1c) king<br>&emsp;&emsp;1a2) reference to God<br>1a2a) the Lord God<br>1a2b) Lord of the whole earth<br>&emsp;1b) lords, kings<br>&emsp;&emsp;1b1) reference to men<br>1b1a) proprietor of hill of Samaria<br>1b1b) master<br>1b1c) husband<br>1b1d) prophet<br>1b1e) governor<br>1b1f) prince<br>1b1g) king<br>&emsp;&emsp;1b2) reference to God<br>1b2a) Lord of lords (probably = ""thy husband, Yahweh"")<br>&emsp;1c) my lord, my master<br>&emsp;&emsp;1c1) reference to men<br>1c1a) master<br>1c1b) husband<br>1c1c) prophet<br>1c1d) prince<br>1c1e) king<br>1c1f) father<br>1c1g) Moses<br>1c1h) priest<br>1c1i) theophanic angel<br>1c1j) captain<br>1c1k) general recognition of superiority<br>&emsp;&emsp;1c2) reference to God<br>1c2a) my Lord, my Lord and my God<br>1c2b) Adonai (parallel with Yahweh)",ʾādōn,
114,אַדּוֹן,H,113+אדון אדון,probably intensive for H113,,N_N--L,Addon,"Addon = ""powerful""<br>1) an Israelite?",ʾaddōn,
115,אֲדוֹרַ֫יִם,H,142+אדר,dual from H142 (in the sense of eminence),,N_N--L,Adoraim,"Adoraim = ""double glory""<br>1) city in Judah fortified by Rehoboam about 5 miles or 8 km SW of Hebron",ʾădōrayim,
116,אֱדַ֫יִן,A,,(Aramaic) of uncertain derivation,,ADV,then,"1) then, afterwards, thereupon, from that time",ʾĕdayin,
117,אַדִּיר,H,142+אדר,from H142,,A,great,"1) great, majestic<br>&emsp;1a) of waters of sea<br>&emsp;1b) of a tree<br>&emsp;1c) of kings, nations, gods<br>2) great one, majestic one<br>&emsp;2a) of nobles, chieftains, servants",ʾaddīr,
118,אֲדַלְיָא,H,,of Persian derivation,,N_N-M-P,Adalia,"Adalia = ""I shall be drawn up of Jah""<br>1) fifth son of Haman, executed at same time",ʾădalyāʾ,
119,אָדֹם,H,,"to show blood (in the face), i.e. flush or turn rosy",,V,to redden,"1) to be red, red<br>&emsp;1a) (Qal) ruddy (of Nazarites)<br>&emsp;1b) (Pual)<br>&emsp;&emsp;1b1) to be rubbed red<br>&emsp;&emsp;1b2) dyed red<br>&emsp;&emsp;1b3) reddened<br>&emsp;1c) (Hiphil)<br>&emsp;&emsp;1c1) to cause to show red<br>&emsp;&emsp;1c2) to glare<br>&emsp;&emsp;1c3) to emit (show) redness<br>&emsp;1d) (Hithpael)<br>&emsp;&emsp;1d1) to redden<br>&emsp;&emsp;1d2) to grow red<br>&emsp;&emsp;1d3) to look red",ʾādōm,
120,אָדָם,H,119+אדם,from H119,,N-M,man,"1) man, mankind<br>&emsp;1a) man, human being<br>&emsp;1b) man, mankind (much more frequently intended sense in OT)<br>&emsp;1c) Adam, first man<br>&emsp;1d) city in Jordan valley",ʾādām,
121,אָדָם,H,120+אדם,the same as H120,,N_N-M-P;N_N--L,Adam,"Adam = ""red""<br>1) first man<br>2) city in Jordan valley",ʾādām,
122,אָדֹם,H,119+אדם,from H119,"אֱדֹם, אָדֹם",A|N-M,red|red stuff,"1) red, ruddy (of man, horse, heifer, garment, water, lentils)|1) name of a condiment",ʾādōm,m
123,אֱדוֹם,H,122+אדום,from H122,,N_N-M-P;N_N--L,Edom,"Edom = ""red""<br>1) Edom<br>2) Edomite, Idumean-descendants of Esau<br>3) land of Edom, Idumea-land south and south east of Palestine",ʾĕdōm,
124,אֹ֫דֶם,H,119+אדם,from H119,,N-F,sardius,"1) ruby, carnelian (redness)<br>&emsp;1a) precious stone",ʾōdem,
125,אֲדַמְדָּם,H,119+אדם,reduplicated from H119,,A,reddish,"1) reddish, be reddish",ʾădamdām,
126,אַדְמָה,H,127+אדמה,contracted for H127,,N_N--L,Admah,"Admah = ""red earth""<br>1) city in the Siddim valley",ʾadmā,
