strongNumber,etymDesc,heading,entrycontent
14,a primitive root,be willing,"1) to be willing, consent<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to be willing<br>&emsp;&emsp;1a2) to consent, yield to, accept<br>&emsp;&emsp;1a3) to desire"
15,from H14,oh that!,"1) entreat, longing, desire"
16,from H14 (in the sense of bending toward),papyrus,"1) reed, papyrus"
17,from H14 (in the sense of desiring),woe!,"1) Oh!, Woe!, (exclamation of pain - indicates desire or uneasiness)"
18,from H75,crib,"1) crib, manger, feeding trough"
19,from an unused root (apparently meaning to turn),slaughter,"1) slaughter, flesh, meat, slaughtered meat"
20,of uncertain derivation,melon,"1) watermelon, Egyptian fruit"
21,from H1,Abi,"Abi = ""my father""<br>1) mother of Hezekiah (cf H029)"
22,from H1 and H410,Abiel,"Abiel = ""El (God) is (my) father""<br>1) Saul's grandfather"
23,from H1 and H622,Abiasaph,"Abiasaph = ""my father has gathered""<br>1) son (descendant) of Korah"
24,from an unused root (meaning to be tender),Abib,"1) fresh, young barley ears, barley<br>2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April)"
25,from H1 and H1391,Abi-gibeon,"Abi Gibon = ""father of Gibeon""<br>1) site of great Bamah, location of the tabernacle of the Lord in the high place"
26,from H1 and H1524,Abigail,"Abigail = ""my father is joy""<br>1) wife of Nabal, then of David<br>2) sister of David"
27,from H1 and H1777,Abidan,"Abidan = ""my father is judge""<br>1) a prince (ruler) of Benjamin"
28,from H1 and H3045,Abida,"Abida or Abidah = ""my father knows""<br>1) fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)"
29,from H1 and H3050,Abijah,"Abia or Abiah or Abijah = ""Jehovah is (my) father""<br>1) king of Judah, son and successor of Rehoboam<br>2) second son of Samuel<br>3) son of Jeroboam the first, king of Israel<br>4) son of Becher, a Benjamite<br>5) head of a priestly house (one of the 24 Levite groups)<br>6) head of a priestly house (after the exile)<br>7) wife of Hezron<br>8) mother of Hezekiah (cf H021)"
30,from H1 and H1931,Abihu,"Abihu = ""he is (my) father""<br>1) a son of Aaron destroyed for sacrificing strange fire to God"
31,from H1 and H1935,Abihud,"Abihud = ""my father is majesty""<br>1) son of Bela, a Benjamite"
32,from H1 and H2428,Abihail,"Abihail = ""my father is might""<br>1) a Levite in Moses's time<br>2) a Gadite<br>3) father of Esther<br>4) wife of Abishur<br>5) wife of Rehoboam"
33,from H44 with the article inserted,Abi-ezrite,"Abiezrite = ""my father is help""<br>1) one of the family of Abiezer, a descendant of Joseph's son, Manasseh"
34,"from H14, in the sense of want (especially in feeling)",needy,"1) in want, needy, chiefly poor, needy person<br>2) subject to oppression and abuse<br>3) needing help, deliverance from trouble, especially as delivered by God<br>4) general reference to lowest class"
35,from H14,desire,1) caper-berry-of stimulating desire
36,from H1 and H2898,Abitub,"Abitub = ""my father is good(ness)""<br>1) son of Shaharaim, a Benjamite"
37,from H1 and H2919,Abital,"Abital = ""my father is (the) dew""<br>1) a wife of David"
38,from H1 and H3220,Abijam,"Abijam = ""my father is the sea"" or ""Yah(u) is (my) father""<br>1) king of Judah, son and successor of Rehoboam"
39,from H1 and an elsewhere unused (probably foreign) word,Abimael,"Abimael = ""my father is El (God)""<br>1) son of Joktan, descendant of Shem"
40,from H1 and H4428,Abimelech,"Abimelech = ""Melek is father"" or ""my father is king""<br>1) king of Gerar in Abraham's time<br>2) king of Gath in David's time; maybe title of Philistine kings<br>3) son of Gideon by a concubine<br>4) priest, son of Abiathar"
41,from H1 and H5068,Abinadab,"Abinadab = ""my father is noble"" or ""my father is willing""<br>1) a man of Gibeah who sheltered the ark<br>2) second son of Jesse, David's older brother<br>3) a son of Saul, slain with him by the Philistines"
42,from H1 and H5278,Abinoam,"Abinoam = ""my father is delight""<br>1) father of Barak, descendant of Naphtali"
43,contracted from H23,Ebiasaph,"Ebiasaph = ""my father has gathered""<br>1) a son or descendant of Korah"
44,from H1 and H5829,Abiezer,"Abiezer = ""my father is help""<br>1) a Manassite, called ""son"" of Gilead, also son of Gilead's sister<br>2) a Benjamite, warrior of David"
45,from H1 and and an unused root of uncertain. derivation,Abi-albon,"Abialbon = ""El (God) is my father""<br>1) one of David's mighty men (hero)"
46,from H82,mighty,"1) strong, mighty-used only to describe God<br>2) the Strong-old name for God (poetic)"
47,from H46,mighty,"1) mighty, valiant<br>&emsp;1a) of men<br>&emsp;1b) of angels<br>&emsp;1c) of animals<br>&emsp;1d) (metaph)<br>&emsp;&emsp;1d1) of enemies<br>&emsp;&emsp;1d2) of princes<br>&emsp;&emsp;1d3) of sacrificial objects<br>&emsp;1e) obstinate (fig.)"
48,from H1 and H7311,Abiram,"Abiram = ""my father is exalted"" or ""(the) Exalted One is (my) father""<br>1) a Reubenite, son of Eliab in exodus<br>2) son of Hiel the Bethelite who worked to rebuild Jericho"
49,from H1 and H7686,Abishag,"Abishag = ""my father is a wanderer""<br>1) David's beautiful young nurse"
50,from H1 and H7771,Abishua,"Abishua = ""my father is rescue (safety), or is opulence""<br>1) son of Phinehas, grandson of Aaron"
51,from H1 and H7791,Abishur,"Abishur = ""my father is a wall""<br>1) son of Shammai, descendant of Judah"
52,from H1 and H7862,Abishai,"Abishai = ""my father is Jesse"" or ""my father is a gift""<br>1) grandson of Jesse, nephew of David via his sister Zeruiah, brother of Joab"
53,from H1 and H7965,Absalom,"Absalom or Abishalom = ""my father is peace""<br>1) father-in-law of Rehoboam<br>2) third son of David, killer of first-born son Amnon, also leader of revolt against his father-David"
54,contracted from H1 and H3498,Abiathar,"Abiathar = ""my father is great""<br>1) priest, son of Ahitub (Ahimelech), faithful to David, but later rebelled with Adonijah"
55,a primitive root,to roll up,"1) to roll, turn<br>&emsp;1a) (Hithpael) to roll, roll up, billow"
56,a primitive root,to mourn,"1) to mourn, lament<br>&emsp;1a) (Qal) to mourn, lament<br>&emsp;&emsp;1a1) of humans<br>&emsp;&emsp;1a2) of inanimate objects (fig.)<br>1a2a) of gates<br>1a2b) of land<br>&emsp;1b) (Hiphil)<br>&emsp;&emsp;1b1) to mourn, cause to mourn (fig.)<br>&emsp;1c) (Hithpael)<br>&emsp;&emsp;1c1) to mourn<br>&emsp;&emsp;1c2) play the mourner"
57,from H56,mourning,1) mourning<br>&emsp;1a) for the dead<br>&emsp;1b) because of calamity<br>&emsp;1c) of rites of mourning<br>2) mourner (subst.)<br>&emsp;2a) for the dead<br>&emsp;2b) for calamity
58,from an unused root (meaning to be grassy). Compare also the proper names beginning with Abel-,meadow,"1) meadow (from verb-to grow green, to withstand)"
59,from H58,Abel,1) city in northern Israel near Bethmaachah<br>2) the place where the ark rested in the field of Joshua at Bethshemesh
60,from H56,mourning,1) mourning<br>&emsp;1a) for the dead<br>&emsp;1b) for rites of mourning (metaph)<br>&emsp;1c) mourning garb<br>&emsp;1d) period of mourning
61,apparently from H56 through the idea of negation,truly,"1) truly, verily, surely<br>2) but, however, howbeit<br>3) contrariwise, nay rather (neg.)"
62,from H58 and H1004 and H4601,Abel-beth-maachah,"Abel Beth Maachah = ""meadow of the house of Maachah""<br>1) city in northern Israel near Beth Maachah"
63,"from H58 and the plural of H7848, with the article inserted",Abel-shittim,"Abel Shittim = ""meadow of acacias""<br>1) place in lowlands of Moab"
64,from H58 and the plural of H3754,Abel-keramim,"Abel Keramim = ""meadow of the vineyards""<br>1) a place in Ammon"
65,from H58 and H4246,Abel-meholah,"Abel Meholah = ""meadow of dancing""<br>1) a city of Issachar, birthplace of Elisha"
66,from H58 and H4325,Abel-maim,"Abel Maim = ""meadow of waters""<br>1) a city in northern Israel (perhaps Abel Beth Maachah)"
67,from H58 and H4714,Abel-mizraim,"Abel Mizraim = ""meadow of Egypt""<br>1) a place east of the Jordan (perhaps ""as fertile as Egypt"")"
68,from the root of H1129 through the meaning to build,stone,"1) stone (large or small)<br>&emsp;1a) common stone (in natural state)<br>&emsp;1b) stone, as material<br>&emsp;&emsp;1b1) of tablets<br>&emsp;&emsp;1b2) marble, hewn stones<br>&emsp;1c) precious stones, stones of fire<br>&emsp;1d) stones containing metal (ore), tool for work or weapon<br>&emsp;1e) weight<br>&emsp;1f) plummet (stones of destruction) also made of metal<br>&emsp;1g) stonelike objects, eg hailstones, stony heart, ice<br>&emsp;1h) sacred object, as memorial Samuel set up to mark where God helped Israel to defeat the Philistines<br>&emsp;1i) (simile)<br>&emsp;&emsp;1i1) sinking in water, motionlessness<br>&emsp;&emsp;1i2) strength, firmness, solidity<br>&emsp;&emsp;1i3) commonness<br>&emsp;1j) (metaph)<br>&emsp;&emsp;1j1) petrified with terror<br>&emsp;&emsp;1j2) perverse, hard heart"
69,(Aramaic) corresponding to H68,stone,"1) stone<br>&emsp;1a) a (the) stone<br>&emsp;1b) stone, material of idols and buildings"
70,from the same as H68,wheel,"1) wheel, disc<br>&emsp;1a) potter's wheel<br>&emsp;1b) bearing-stool, midwife's stool"
71,perhaps feminine of H68,Abana,"1) river Abana, Syrian river flowing through Damascus"
72,from H68 and H5828 with the article inserted,Eben-ezer,"Ebenezer = ""stone of help""<br>1) memorial stone erected by Samuel to mark where God helped Israel to defeat the Philistines-north of Jerusalem"
73,of uncertain derivation,girdle,"1) girdle, sash, waistband<br>&emsp;1a) of high priest<br>&emsp;1b) of other priests<br>&emsp;1c) of high official"
74,from H1 and H5216,Abner,"Abner = ""my father is a lamp""<br>1) Saul's cousin and army captain, treacherously slain by Joab"
75,a primitive root,to fatten,"1) to feed, fatten<br>&emsp;1a) (Qal) fattened (passive participle)"
76,(by reduplication) from an unused root (meaning to belch forth),boil,"1) blisters, boils (from root, to swell up)"
77,from an unused root probably meaning to gleam,Abez,"Abez = ""I will make white (or miry)""<br>1) a city in Issachar"
78,from the same as H76,Ibzan,"Ibzan, ""their whiteness (literally their tin - as white""<br>1) a Bethlehemite judge in time of the judges"
79,"a primitive root, probably to float away (as vapor), but used only as denominative from H80",to wrestle,"1) (Niphal) to wrestle, grapple (get dusty), bedust"
80,from root of H79,dust,1) dust<br>&emsp;1a) on ground<br>&emsp;1b) clouds (fig.)
81,feminine of H80,aromatic powder,"1) aromatic powders, powder"
82,a primitive root,to fly,1) (Hiphil) to fly (to move wings)
83,from H82,wing,"1) pinion, wing<br>&emsp;1a) of bird (dove, eagle)<br>&emsp;1b) of Babylonian king (fig.)"
84,feminine of H83,pinion,"1) pinion, wing<br>&emsp;1a) of bird (ostrich, eagle, dove)<br>&emsp;1b) of God (metaph)"
85,contracted from H1 and an unused root (probably meaning to be populous),Abraham,"Abraham = ""father of a multitude"" or ""chief of multitude""<br>1) friend of God and founder of Hebrew nation via God's elective covenant"
86,probably an Egyptian word meaning kneel,to bow,1) (meaning dubious) -a shout made to announce Joseph's chariot<br>&emsp;1a) command<br>&emsp;1b) bow
87,contracted from H48,Abram,"Abram = ""exalted father""<br>1) original name of Abraham"
88,plural of H178,Oboth,"Oboth = ""waterskins""<br>1) undetermined site of an Israelite camp in the wilderness (perhaps at east boundary of Moab)"
89,of uncertain derivation. Compare H90,Agee,"Agee = ""I shall increase""<br>1) father of a warrior of David"
90,of uncertain derivation,Agag,"Agag = ""I will overtop""<br>1) king of Amalek, spared by Saul but slain by Samuel"
91,patrial or patronymic from H90,Agagite,"Agagite = ""I will overtop""<br>1) said of Haman, Haman the Agagite"
92,feminine passive participle of an unused root (meaning to bind),troop,"1) band, binding<br>&emsp;1a) cords, bands, thongs (metaphorical of slavery)<br>&emsp;1b) bunch of hyssop<br>&emsp;1c) band of men, troops<br>&emsp;1d) vault (of the heavens), firmament (binding earth to the heavens)"
93,prob of Persian origin,nut,1) nuts
94,passive participle of H103,Agur,"Agur = ""gathered""<br>1) son of Jakeh, an author or compiler of Pr 30:1-33"
95,from the same as H94,piece,"1) payment, piece, coin"
96,from an unused root (meaning to flow down or together as drops),drop,"1) drop, reserve supply, collections, stores"
97,dual of H96,Eglaim,"Eglaim = ""double reservoir""<br>1) a town in Moab"
98,from an unused root (meaning to collect as water),pool,"1) pool, troubled pool<br>&emsp;1a) troubled or muddy (gloomy) pools, marshes<br>&emsp;1b) any pool, pond<br>&emsp;1c) swamp reeds, reeds, rush(es)"
99,probably from the same as H98 (in the sense of stagnant water),grieved,1) stagnant pond
100,from the same as H98,bulrush,"1) rush, bulrush<br>&emsp;1a) used as cord or line (of twisted rushes or spun of rush fibre)<br>&emsp;1b) of the lowly, insignificant (metaph)<br>2) sad, drooping<br>&emsp;1a) of line of bulrushes<br>&emsp;1b) bowing of the head (fig.)<br>&emsp;1c) of the lowly (metaph)"
101,probably from H5059,vessel,"1) bowl, basins<br>&emsp;1a) basins used in ritual<br>&emsp;1b) human body (metaph), curves of the body (simile)<br>&emsp;1c) of family of Eliakim (metaph)"
102,probably from H5062 (through the idea of impending),band,"1) wing (of an army), band, army, hordes"
103,a primitive root,to gather,1) to gather<br>&emsp;1a) (Qal) to gather
104,(Aramaic) of Persian origin,letter,"1) letter, missive (Aramaic loan-word used in last OT books)"
105,of uncertain derivation,basin,"1) vessel, basket, leather bag, basin"
106,from H1640 (in the sense of grasping),fist,1) fist
107,feminine of H104,letter,"1) letter, missive"
108,from the same as H181 (in the sense of enveloping),mist,1) mist
109,a primitive root,to grieve,"1) to grieve, cause grief<br>&emsp;1a) (Hiph) to cause to grieve, to grieve, to cause grief"
110,probably from H109 (in the sense of chastisement) and H410,Adbeel,"Adbeel = ""chastened of God""<br>1) third son of Ishmael and grandson of Abraham"
111,probably an orthographical variation for H2301,Hadad,"Hadad = ""I shall move softly: I shall love""<br>1) an Edomite enemy God raised up to punish Solomon for his sins"
112,of uncertain derivation,Iddo,"Iddo = ""I will praise him""<br>1) a chief Israelite during resettlement"
113,from an unused root (meaning to rule). Compare also names beginning with Adoni-,lord,"1) firm, strong, lord, master<br>&emsp;1a) lord, master<br>&emsp;&emsp;1a1) reference to men<br>1a1a) superintendent of household, of affairs<br>1a1b) master<br>1a1c) king<br>&emsp;&emsp;1a2) reference to God<br>1a2a) the Lord God<br>1a2b) Lord of the whole earth<br>&emsp;1b) lords, kings<br>&emsp;&emsp;1b1) reference to men<br>1b1a) proprietor of hill of Samaria<br>1b1b) master<br>1b1c) husband<br>1b1d) prophet<br>1b1e) governor<br>1b1f) prince<br>1b1g) king<br>&emsp;&emsp;1b2) reference to God<br>1b2a) Lord of lords (probably = ""thy husband, Yahweh"")<br>&emsp;1c) my lord, my master<br>&emsp;&emsp;1c1) reference to men<br>1c1a) master<br>1c1b) husband<br>1c1c) prophet<br>1c1d) prince<br>1c1e) king<br>1c1f) father<br>1c1g) Moses<br>1c1h) priest<br>1c1i) theophanic angel<br>1c1j) captain<br>1c1k) general recognition of superiority<br>&emsp;&emsp;1c2) reference to God<br>1c2a) my Lord, my Lord and my God<br>1c2b) Adonai (parallel with Yahweh)"
114,probably intensive for H113,Addon,"Addon = ""powerful""<br>1) an Israelite?"
115,dual from H142 (in the sense of eminence),Adoraim,"Adoraim = ""double glory""<br>1) city in Judah fortified by Rehoboam about 5 miles or 8 km SW of Hebron"
116,(Aramaic) of uncertain derivation,then,"1) then, afterwards, thereupon, from that time"
117,from H142,great,"1) great, majestic<br>&emsp;1a) of waters of sea<br>&emsp;1b) of a tree<br>&emsp;1c) of kings, nations, gods<br>2) great one, majestic one<br>&emsp;2a) of nobles, chieftains, servants"
118,of Persian derivation,Adalia,"Adalia = ""I shall be drawn up of Jah""<br>1) fifth son of Haman, executed at same time"
119,"to show blood (in the face), i.e. flush or turn rosy",to redden,"1) to be red, red<br>&emsp;1a) (Qal) ruddy (of Nazarites)<br>&emsp;1b) (Pual)<br>&emsp;&emsp;1b1) to be rubbed red<br>&emsp;&emsp;1b2) dyed red<br>&emsp;&emsp;1b3) reddened<br>&emsp;1c) (Hiphil)<br>&emsp;&emsp;1c1) to cause to show red<br>&emsp;&emsp;1c2) to glare<br>&emsp;&emsp;1c3) to emit (show) redness<br>&emsp;1d) (Hithpael)<br>&emsp;&emsp;1d1) to redden<br>&emsp;&emsp;1d2) to grow red<br>&emsp;&emsp;1d3) to look red"
120,from H119,man,"1) man, mankind<br>&emsp;1a) man, human being<br>&emsp;1b) man, mankind (much more frequently intended sense in OT)<br>&emsp;1c) Adam, first man<br>&emsp;1d) city in Jordan valley"
121,the same as H120,Adam,"Adam = ""red""<br>1) first man<br>2) city in Jordan valley"
122,from H119,red|red stuff,"1) red, ruddy (of man, horse, heifer, garment, water, lentils)|1) name of a condiment"
123,from H122,Edom,"Edom = ""red""<br>1) Edom<br>2) Edomite, Idumean-descendants of Esau<br>3) land of Edom, Idumea-land south and south east of Palestine"
124,from H119,sardius,"1) ruby, carnelian (redness)<br>&emsp;1a) precious stone"
125,reduplicated from H119,reddish,"1) reddish, be reddish"
126,contracted for H127,Admah,"Admah = ""red earth""<br>1) city in the Siddim valley"
127,from H119,land,"1) ground, land<br>&emsp;1a) ground (as general, tilled, yielding sustenance)<br>&emsp;1b) piece of ground, a specific plot of land<br>&emsp;1c) earth substance (for building or constructing)<br>&emsp;1d) ground as earth's visible surface<br>&emsp;1e) land, territory, country<br>&emsp;1f) whole inhabited earth<br>&emsp;1g) city in Naphtali"
128,the same as H127,Adamah,"Adamah = ""the earth""<br>1) city in Naphtali"
129,from H127,Adami Nekeb,"Adami = ""man of Adar""<br>1) a pass or fortified place in Naphtali"
130,patronymic from H123,Edomite,1) Edomite
131,plural of H121,Adummim,"Adummim = ""ruddy one: quieted ones?""<br>1) pass or ridge of hills, west of Gilgal"
132,from H119,red,"1) red, ruddy (of Esau as infant)"
133,probably of Persian derivation,Admatha,"Admatha = ""a testimony to them""<br>1) prince of Persia in reign of Ahasuerus (Xerxes)"
134,from the same as H113 (in the sense of strength),socket,"1) base, pedestal, socket (strong, firm)<br>&emsp;1a) pedestals of gold on which marble pillars were set<br>&emsp;1b) pedestals of the earth, foundation of the earth<br>&emsp;1c) pedestals, bases, or sockets on which tabernacle stood"
135,intensive from the same as H134,Addan,"Addan = ""strong, firm""<br>1) place in Babylon, from which exiles returned"
136,am emphatic form of H113,Lord,"1) my lord, lord<br>&emsp;1a) of men<br>&emsp;1b) of God<br>2) Lord-title, spoken in place of Yahweh in Jewish display of reverence"
137,from H113 and H966,Adoni-bezek,"Adoni-Bezek = ""my lord is Besek""<br>1) king of the Canaanite city of Bezek, killed by Israelites"
138,from H113 and H3050,Adonijah,"Adonijah = ""my lord is Jehovah""<br>1) fourth son of David and Solomon's rival for the throne<br>2) Levite sent by Jehoshaphat to teach the Law<br>3) a chief of the people who co-operated with Nehemiah"
139,from H113 and H6664,Adoni-zedek,"Adoni-zedek = ""my lord is righteous""<br>1) Canaanite king slain by Joshua"
140,from H113 and H6965,Adonikam,"Adonikam = ""my lord arose""<br>1) the head of an Israelite clan who returned from exile"
141,from H113 and H7311,Adoniram,"Adoniram = ""my lord is exalted""<br>1) one of Solomon's officers"
142,a primitive root,be glorious,"1) to be great, be majestic, wide, noble (poetic)<br>&emsp;1a) (Niphal) majestic, glorious (participle)<br>&emsp;1b) (Hiphil) make glorious"
143,probably of foreign derivation,Adar,"Adar = ""glorious""<br>1) twelfth month, corresponding to modern March-April"
144,(Aramaic) corresponding to H143,Adar,"Adar = ""glorious""<br>1) twelfth month, corresponding to modern March or April"
145,from H142,robe,"1) glory, magnificence<br>2) mantle, cloak (as wide)"
146,intensive from H142,Addar,"Addar or Adar = ""exceeding glorious""<br>1) son of Bela and Benjamin's grandson<br>2) city in Judah near Edom"
147,"(Aramaic) intensive, from a root corresponding to H142",threshing floor,1) threshing floor
148,"(Aramaic) from the same as H147, and H1505",judge,"1) judge (diviner), counsellor"
149,(Aramaic) probably of Persian origin,diligently,"1) correctly, exactly, diligently, earnestly"
150,of Persian origin,dram,"1) drachma, dram, daric-unit of weight and value (of gold, money) equal to 128 grains or 4.32 grams"
151,contracted for H141,Adoram,"Adoram = ""my lord is exalted""<br>1) an officer of David<br>2) an officer of Rehoboam"
152,from H142 and H4428,Adrammelech,"Adrammelech = ""honour of the king"" or ""Adar is prince"" or ""Adar is Counsellor, Decider""<br>1) an idol or god of the Sepharvites, introduced to Israel by Shalmaneser the fifth<br>2) the son and murderer of Sennacherib"
153,(Aramaic) an orthographical variation for H1872,force,"1) strong, force, arm, power"
154,from the equivalent of H153,Edrei,"Edrei = ""goodly pasture""<br>1) a chief city of Bashan, north of Jabbok river"
155,feminine of H117,clothing,"1) glory, cloak<br>&emsp;1a) glory, splendour, magnificence (of a vine, shepherds)<br>&emsp;1b) mantle, cloak made of fur or fine material<br>&emsp;&emsp;1b1) prophet's garment"
156,a primitive root,to thresh,"1) (Qal) to tread, tread on, thresh, trample on"
157,a primitive root,to love,"1) to love<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) human love for another, includes family, and sexual<br>&emsp;&emsp;1a2) human appetite for objects such as food, drink, sleep, wisdom<br>&emsp;&emsp;1a3) human love for or to God<br>&emsp;&emsp;1a4) act of being a friend<br>1a4a) lover (participle)<br>1a4b) friend (participle)<br>&emsp;&emsp;1a5) God's love toward man<br>1a5a) to individual men<br>1a5b) to people Israel<br>1a5c) to righteousness<br>&emsp;1b) (Niphal)<br>&emsp;&emsp;1b1) lovely (participle)<br>&emsp;&emsp;1b2) loveable (participle)<br>&emsp;1c) (Piel)<br>&emsp;&emsp;1c1) friends<br>&emsp;&emsp;1c2) lovers (fig. of adulterers)<br>2) to like"
158,from H157,lover,"1) loves, amours (only in plural) ahbym<br>2) (TWOT) love"
159,from H156,beloved,1) loved object<br>2) (TWOT) love
160,feminine of H158 and meaning the same,love,1) love<br>&emsp;1a) human love for human object<br>&emsp;&emsp;1a1) of man toward man<br>&emsp;&emsp;1a2) of man toward himself<br>&emsp;&emsp;1a3) between man and woman<br>&emsp;&emsp;1a4) sexual desire<br>2) God's love to His people
161,from an unused root meaning to be united,Ohad,"Ohad = ""united""<br>1) son of Simeon and grandson of Jacob"
162,apparently a primitive word expressing pain exclamatorily,alas!,"1) alas!, oh!, ah!"
163,probably of foreign origin,Ahava,"Ahava = ""I shall subsist""<br>1) town or area in Babylonia"
164,from the same as H161,Ehud,"Ehud = ""I will give thanks: I will be praised"" or ""undivided, union"" in (1Ch. 8:6) only<br>1) Benjamite judge of Israel, deliverer of Israel from Moab<br>2) another Benjamite, son of Bilhan (1Ch 8:6)"
165,apparently an orthographical variation for H346,where?,1) where
166,a primitive root,to shine,"1) (Hiphil) to be clear, shine"
167,a denominative from H168,to pitch,"1) to pitch a tent, to move a tent<br>&emsp;1a) (Qal) pitch or remove a tent<br>&emsp;1a) (Piel) to pitch one's tent"
168,from H166,tent,"1) tent<br>&emsp;1a) nomad's tent, and thus symbolic of wilderness life, transience<br>&emsp;1b) dwelling, home, habitation<br>&emsp;1c) the sacred tent of Jehovah (the tabernacle)"
169,the same as H168,Ohel,"Ohel = ""tent""<br>1) son of Zerubbabel"
170,from H168,Aholah,"Aholah = ""her own tent""<br>1) Samaria as an adulteress with Assyria (metaph)"
171,from H168 and H1,Aholiab,"Aholiab = ""Father's tent""<br>1) chief assistant of Bezaleel in construction of the tabernacle"
172,from H168,Aholibah,"Aholibah = ""woman of the tent"" or ""the tent is in her""<br>1) (metaph) Jerusalem as adulterous wife of Jehovah"
173,from H168 and H1116,Aholibamah,"Aholibamah = ""tent of the high place""<br>1) wife of Esau<br>2) an Edomite chieftain"
174,of foreign origin,aloe,"1) aloes, aloe tree<br>&emsp;1a) aloe tree<br>&emsp;1b) aloe (perfume)"
175,of uncertain derivation,Aaron,"Aaron = ""light bringer""<br>1) brother of Moses, a Levite and the first high priest"
176,short for H185,or|desire,"1) or, rather<br>&emsp;1a) implying that the latter choice is preferred<br>&emsp;1b) or if, introducing an example to be seen under a particular principle<br>&emsp;1c) (in series) either...or, whether...or<br>&emsp;1d) if perchance<br>&emsp;1e) except, or else<br>2) whether, not the least, if, otherwise, also, and, then|1) desire"
177,from H176 and H410,Uel,"Uel = ""wish or will of God""<br>1) a Judean who had taken a foreign woman during the exile"
178,from the same as H1 (apparently through the idea of prattling a father's name),medium,"1) water skin bottle<br>2) necromancer<br>&emsp;1b) necromancer, one who evokes the dead<br>&emsp;1c) ghost, spirit of a dead one<br>&emsp;1d) practice of necromancy<br>3) one that has a familiar spirit"
179,probably from H56,Obil,"Obil = ""camel driver""<br>1) manager of David's camels"
180,from H2986 (in the sense of H2988),river,"1) stream, river"
181,from an unused root meaning to rake together,firebrand,"1) brand, fire brand"
182,from the same as H181,because,"1) cause<br>&emsp;1a) cause, reason for<br>&emsp;1b) the occasion of"
183,a primitive root,to desire,"1) desire, incline, covet, wait longingly, wish, sigh, want, be greedy, prefer<br>&emsp;1a) (Piel) to desire, crave (food and drink)<br>&emsp;1b) (Hithpael) to desire, long for, lust after (of bodily appetites)"
184,a primitive root,to mark,"1) to sign, mark, describe with a mark<br>&emsp;1a) (Hithpael) to measure, mark out, mark you out"
185,from H183,desire,"1) desire, lust, will (not necessarily evil)"
186,"perhaps by permutation for H5813, strong",Uzai,"Uzai = ""I shall have my sprinklings""<br>1) a Judean, one of the repairers of Jerusalem's walls"
187,of uncertain derivation,Uzal,"Uzal = ""I shall be flooded""<br>1) sixth son Joktan"
188,probably from H183 (in the sense of crying out after),woe!,1) woe! alas! oh!<br>&emsp;1a) passionate cry of grief or despair
189,probably from H183,Evi,"Evi = ""my desire""<br>1) one of five chiefs of Midian"
190,feminine of H188,woe!,1) woe!
191,from an unused root (meaning to be perverse),fool(ish),"1) be foolish, foolish<br>&emsp;1a) (subst)<br>&emsp;&emsp;1a1) of one who despises wisdom<br>&emsp;&emsp;1a2) of one who mocks when guilty<br>&emsp;&emsp;1a3) of one who is quarrelsome<br>&emsp;&emsp;1a4) of one who is licentious"
192,of Aramaic derivation and probably meaning soldier of Merodak,Evil-merodach,"Evil Merodach = ""man of Merodach""<br>1) son and successor of Nebuchadnezzar, king of Neo-Babylonian empire, 562-560 BC"
